id,lng,lat
842,-73.996196,40.74844
843,-73.996129,40.743431
844,-73.996121,40.709806
845,-73.996065,40.716247
846,-73.996063,40.730155
847,-73.996055,40.720137
848,-73.996027,40.76397
849,-73.995988,40.755326
850,-73.995965,40.709243
851,-73.995955,40.768042
852,-73.995943,40.758981
853,-73.995914,40.732847
854,-73.995882,40.724403
855,-73.995874,40.738686
856,-73.995846,40.725208
857,-73.995844,40.726526
858,-73.995815,40.754057
859,-73.995812,40.72918
860,-73.995777,40.767967
861,-73.995752,40.720893
862,-73.995749,40.749052
863,-73.995705,40.723366
864,-73.995686,40.718771
865,-73.995645,40.744099
866,-73.995619,40.755554
867,-73.995593,40.728194
868,-73.995563,40.730715
869,-73.995547,40.764607
870,-73.995489,40.733437
871,-73.995474,40.759627
872,-73.995464,40.721619
873,-73.995446,40.739272
874,-73.995429,40.717279
875,-73.995355,40.754688
876,-73.995351,40.724072
877,-73.995329,40.725084
878,-73.995328,40.755737
879,-73.995308,40.729776
880,-73.995299,40.749671
881,-73.99527,40.727211
882,-73.99526,40.719867
883,-73.995241,40.757013
884,-73.995161,40.744763
885,-73.995114,40.769251
886,-73.995101,40.755037
887,-73.9951,40.765231
888,-73.995075,40.769307
889,-73.995061,40.72881
890,-73.99506,40.726137
891,-73.99505,40.734034
892,-73.995018,40.73986
893,-73.994983,40.7603
894,-73.994969,40.720627
895,-73.994955,40.770017
896,-73.994932,40.755269
897,-73.994909,40.723036
898,-73.994908,40.724951
899,-73.994894,40.715812
900,-73.99486,40.769229
901,-73.994844,40.750293
902,-73.994822,40.73035
903,-73.994815,40.757661
904,-73.994812,40.718458
905,-73.99481,40.714234
906,-73.994799,40.769976
907,-73.994786,40.7316
908,-73.994751,40.727819
909,-73.994717,40.771394
910,-73.994709,40.745383
911,-73.994706,40.721308
912,-73.99468,40.77077
913,-73.994654,40.765855
914,-73.994648,40.725931
915,-73.994593,40.740442
916,-73.994585,40.734672
917,-73.994574,40.769907
918,-73.994547,40.729406
919,-73.994526,40.760927
920,-73.994524,40.713696
921,-73.994485,40.755882
922,-73.994466,40.725846
923,-73.994459,40.713021
924,-73.994438,40.770668
925,-73.994426,40.716966
926,-73.994394,40.75837
927,-73.994361,40.712308
928,-73.994352,40.719441
929,-73.994297,40.732165
930,-73.994275,40.715621
931,-73.994263,40.711593
932,-73.994262,40.746004
933,-73.994252,40.728412
934,-73.994251,40.77194
935,-73.994233,40.771478
936,-73.99418,40.724693
937,-73.994173,40.766505
938,-73.994165,40.741031
939,-73.994153,40.722723
940,-73.99415,40.714283
941,-73.994138,40.710557
942,-73.994129,40.72664
943,-73.994118,40.735313
944,-73.994103,40.710087
945,-73.994075,40.713053
946,-73.99407,40.761552
947,-73.994064,40.729978
948,-73.99404,40.756493
949,-73.994035,40.720323
950,-73.99403,40.731284
951,-73.994022,40.709485
952,-73.993948,40.751522
953,-73.993946,40.714294
954,-73.993945,40.713744
955,-73.993936,40.758979
956,-73.993828,40.718145
957,-73.993814,40.732731
958,-73.993813,40.746618
959,-73.993795,40.720937
960,-73.993773,40.712355
961,-73.993758,40.725647
962,-73.993747,40.729008
963,-73.993739,40.741617
964,-73.993722,40.767105
965,-73.993687,40.772109
966,-73.99364,40.727289
967,-73.993617,40.736005
968,-73.993614,40.713091
969,-73.993609,40.762184
970,-73.993565,40.757146
971,-73.993561,40.772888
972,-73.993523,40.721632
973,-73.99346,40.752196
974,-73.993458,40.724433
975,-73.9934,40.715355
976,-73.993372,40.772801
977,-73.99336,40.71907
978,-73.993359,40.747235
979,-73.993322,40.733304
980,-73.993292,40.742233
981,-73.993267,40.772753
982,-73.993263,40.767741
983,-73.993262,40.72958
984,-73.993259,40.722353
985,-73.993243,40.730954
986,-73.993156,40.762806
987,-73.993147,40.727867
988,-73.99312,40.736691
989,-73.993095,40.717922
990,-73.993089,40.722819
991,-73.993069,40.757826
992,-73.993045,40.714356
993,-73.993042,40.725452
994,-73.992979,40.752854
995,-73.992976,40.713825
996,-73.99291,40.747855
997,-73.992907,40.719891
998,-73.992857,40.714674
999,-73.992841,40.730079
1000,-73.992838,40.720028
1001,-73.992826,40.768345
1002,-73.992822,40.716478
1003,-73.99282,40.714373
1004,-73.992805,40.742901
1005,-73.992792,40.733922
1006,-73.992748,40.713845
1007,-73.992701,40.763431
1008,-73.992654,40.73733
1009,-73.992637,40.715129
1010,-73.99263,40.758429
1011,-73.992623,40.713168
1012,-73.992621,40.718851
1013,-73.992604,40.724136
1014,-73.992584,40.714389
1015,-73.992566,40.712453
1016,-73.992528,40.753474
1017,-73.992495,40.713867
1018,-73.992463,40.748469
1019,-73.992457,40.711754
1020,-73.992418,40.71319
1021,-73.9924,40.730601
1022,-73.992382,40.715047
1023,-73.992371,40.768982
1024,-73.992326,40.724909
1025,-73.992318,40.743568
1026,-73.992309,40.712464
1027,-73.992266,40.734532
1028,-73.992244,40.764057
1029,-73.992237,40.721248
1030,-73.992225,40.737917
1031,-73.99222,40.717658
1032,-73.992209,40.725231
1033,-73.992205,40.719664
1034,-73.992192,40.710892
1035,-73.992183,40.711775
1036,-73.992139,40.759103
1037,-73.992134,40.71442
1038,-73.992134,40.7198
1039,-73.992079,40.754091
1040,-73.992061,40.725642
1041,-73.992029,40.710911
1042,-73.992014,40.716235
1043,-73.992006,40.749101
1044,-73.99194,40.709786
1045,-73.991921,40.731166
1046,-73.991906,40.769607
1047,-73.99189,40.714899
1048,-73.991871,40.744186
1049,-73.991798,40.738504
1050,-73.991796,40.71617
1051,-73.991794,40.726391
1052,-73.991788,40.764684
1053,-73.991772,40.709811
1054,-73.991747,40.718583
1055,-73.991692,40.735204
1056,-73.991683,40.759728
1057,-73.991649,40.722402
1058,-73.991633,40.754707
1059,-73.991563,40.749706
1060,-73.991548,40.727089
1061,-73.991506,40.721028
1062,-73.99146,40.731738
1063,-73.991422,40.717418
1064,-73.991419,40.744802
1065,-73.991418,40.770289
1066,-73.991417,40.72989
1067,-73.991375,40.739088
1068,-73.991333,40.76531
