scenario,demand starts,demand ends,demand number,fleet size,capacity,max wait (s),max wait (s),method,interval (s),service type,total service rate,served rate (finished),serving rate (in-car),mean wt,mean ivd,mean detour,mean ivt
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,9184 (40.0%),800,4 (7),300,600,OSP-RO,30,SWST:,81.85% (7517),79.53% (7304),2.32% (213),175.56,205.61,1.37,785.45
1.0,2020-03-25_23:03,2020-03-25_23:22,0:19:20,runtime:,5.86,load (d):,2.03,load (t):,2.1,VWST:,0.14% (13),0.13% (12),0.01% (1),435.51,75.95,1.12,701.98
,,,,,,,,,,VWVT:,0.56% (51),0.52% (48),0.03% (3),1553.66,0.0,1.0,568.34
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,6889 (30.0%),600,4 (7),300,600,OSP-RO,10,SWST:,78.75% (5425),76.4% (5263),2.35% (162),168.58,214.34,1.39,796.44
1.0,2020-03-25_23:26,2020-03-25_23:37,0:10:50,runtime:,1.09,load (d):,1.98,load (t):,2.04,VWST:,0.22% (15),0.19% (13),0.03% (2),452.79,75.47,1.17,751.47
,,,,,,,,,,VWVT:,0.07% (5),0.07% (5),0.0% (0),705.03,0.0,1.0,728.34
Manhattan,2013-05-06 07:40:00,2013-05-06 09:19:00,5741 (25.0%),600,4 (1),300,600,OSP-SR,10,SWST:,83.63% (4801),81.45% (4676),2.18% (125),166.53,197.1,1.36,782.07
1.0,2020-03-25_23:40,2020-03-25_23:43,0:02:54,runtime:,0.29,load (d):,1.74,load (t):,1.79,VWST:,0.64% (37),0.63% (36),0.02% (1),461.57,61.04,1.11,657.41
,,,,,,,,,,VWVT:,0.92% (53),0.89% (51),0.03% (2),1474.64,-0.0,1.0,611.21
Manhattan,2013-05-06 07:40:00,2013-05-06 09:20:00,5741 (25.0%),600,4 (7),300,600,OSP-RO,120,SWST:,84.9% (4874),83.12% (4772),1.78% (102),184.11,182.54,1.33,765.36
1.0,2020-03-25_23:49,2020-03-25_23:52,0:03:37,runtime:,4.39,load (d):,1.71,load (t):,1.75,VWST:,0.4% (23),0.37% (21),0.03% (2),465.94,58.85,1.1,705.21
,,,,,,,,,,VWVT:,0.8% (46),0.8% (46),0.0% (0),1654.14,-0.0,1.0,590.72
Manhattan,2013-05-06 07:40:00,2013-05-06 09:20:00,5741 (25.0%),600,6 (1),300,600,OSP-SR,120,SWST:,84.18% (4833),82.35% (4728),1.83% (105),181.13,185.78,1.33,770.46
1.0,2020-03-26_00:07,2020-03-26_00:09,0:02:05,runtime:,2.54,load (d):,1.71,load (t):,1.76,VWST:,0.26% (15),0.26% (15),0.0% (0),452.29,44.67,1.07,751.51
,,,,,,,,,,VWVT:,0.09% (5),0.05% (3),0.03% (2),933.84,0.0,1.0,490.26
Manhattan,2013-05-06 07:40:00,2013-05-06 09:20:00,5741 (25.0%),600,6 (10),300,600,OSP-RO,120,SWST:,86.0% (4937),84.27% (4838),1.72% (99),181.61,179.8,1.32,763.9
1.0,2020-03-26_00:14,2020-03-26_00:18,0:03:28,runtime:,4.21,load (d):,1.75,load (t):,1.79,VWST:,0.38% (22),0.37% (21),0.02% (1),466.25,51.56,1.08,592.36
,,,,,,,,,,VWVT:,1.34% (77),1.29% (74),0.05% (3),1458.96,-0.0,1.0,594.02
Manhattan,2013-05-06 07:40:00,2013-05-06 09:20:00,5741 (25.0%),600,6 (10),300,600,OSP-RO,100,SWST:,86.1% (4943),84.32% (4841),1.78% (102),183.19,184.99,1.33,767.1
1.0,2020-03-26_00:21,2020-03-26_00:24,0:03:17,runtime:,3.32,load (d):,1.77,load (t):,1.81,VWST:,0.51% (29),0.49% (28),0.02% (1),484.91,52.56,1.1,807.11
